start_year,end_year,code,label,city,county_new,date_opened,date_closed,notes,review_flag
2000,2026,1,Swedish Medical Center - First Hill,Seattle,King,1/1/2000,,,FALSE
2007,2026,3,Swedish Medical Center - Cherry Hill,Seattle,King,5/1/2007,,,FALSE
,2026,8,Klickitat Valley Hospital,Goldendale,Klickitat,,,,FALSE
1978,2026,10,Virginia Mason Hospital,Seattle,King,1/1/1978,,,FALSE
1987,2026,14,Seattle Children's Hospital,Seattle,King,10/20/1987,,,FALSE
,2026,20,Kaiser Permanente Central Hospital,Seattle,King,,,,FALSE
2011,2026,21,Newport Hospital & Health Services,Newport,Pend Oreille,5/10/2011,,,FALSE
2002,2026,22,Lourdes Medical Center,Pasco,Franklin,1/1/2002,,,FALSE
2012,2026,23,Three Rivers Hospital,Brewster,Okanogan,1/12/2012,,,FALSE
2006,2026,26,PeaceHealth St John Medical Center,Longview,Cowlitz,1/1/2006,,,FALSE
2008,2026,27,Providence Regional Medical Center Everett - Pacific,Everett,Snohomish,9/1/2008,,,FALSE
1978,2026,29,Harborview Medical Center,Seattle,King,1/1/1978,,,FALSE
1978,2026,32,St Joseph Medical Center,Tacoma,Pierce,1/1/1978,,,FALSE
2011,2026,35,St Elizabeth Hospital,Enumclaw,King,2/2/2011,,,FALSE
2003,2026,36,Swedish Medical Center - Ballard,Seattle,King,1/1/2003,,,FALSE
1978,2026,37,Deaconess Medical Center,Spokane,Spokane,1/1/1978,,,FALSE
2000,2026,38,Olympic Medical Center,Port Angeles,Clallam,3/15/2000,,,FALSE
2013,2026,39,Trios Health,Kennewick,Benton,10/10/2013,,,FALSE
,2026,42,Shriner's Hospital For Children,Spokane,Spokane,,,,FALSE
,2017,43,Walla Walla General Hospital,Walla Walla,Walla Walla,,7/26/2017,,FALSE
1978,2026,45,Columbia Basin Hospital,Ephrata,Grant,1/1/1978,,,FALSE
1978,2026,46,Prosser Memorial Hospital,Prosser,Benton,1/1/1978,,,FALSE
2009,2026,50,Providence St Mary Medical Center,Walla Walla,Walla Walla,2/1/2009,,,FALSE
1978,2026,54,Forks Community Hospital,Forks,Clallam,1/1/1978,,,FALSE
1978,2026,56,Willapa Harbor Hospital,South Bend,Pacific,1/1/1978,,,FALSE
2021,2026,58,Yakima Valley Memorial Hospital,Yakima,Yakima,1/4/2021,,,FALSE
