start_year,end_year,code,label,notes,review_flag
1980,2026,0000,Non-Washington State or Unknown ,,FALSE
1980,2026,9999,Non-Washington State or Unknown ,,FALSE
1980,2026,0100,Adams County rural,,FALSE
1980,2026,0103,Othello,,FALSE
1980,2026,0200,Asotin County rural,,FALSE
1980,2026,0203,Clarkston,,FALSE
1980,2026,0300,Benton County rural,,FALSE
1980,2026,0301,Kennewick,,FALSE
1980,2026,0302,Richland,,FALSE
1980,2026,0303,Prosser,,FALSE
1981,2026,0304,West Richland,,FALSE
2001,2026,0305,Benton City,,FALSE
1980,2026,0400,Chelan County rural,,FALSE
1980,2026,0402,Wenatchee,,FALSE
1980,2026,0403,Chelan,,FALSE
1992,2026,0404,Cashmere,,FALSE
1980,2026,0500,Clallam County rural,,FALSE
1981,2026,0501,Forks,,FALSE
1980,2026,0502,Port Angeles,,FALSE
1980,2026,0503,Sequim,,FALSE
1980,2026,0600,Clark County rural,,FALSE
1980,2026,0602,Vancouver,,FALSE
1980,2026,0603,Camas,,FALSE
1980,2026,0604,Washougal,,FALSE
1980,2026,0605,Battle Ground,,FALSE
2006,2026,0606,Ridgefield,,FALSE
2009,2026,0607,La Center,,FALSE
1980,2026,0700,Columbia County rural,,FALSE
1992,2026,0703,Dayton,Using the latest time period only.,FALSE
1980,2026,0800,Cowlitz County rural,,FALSE
1980,2026,0802,Longview,,FALSE
1980,2026,0803,Kelso,,FALSE
1984,2026,0804,Woodland,,FALSE
2010,2026,0805,Kalama,,FALSE
1980,2026,0900,Douglas County rural,,FALSE
1992,2026,0901,East Wenatchee,,FALSE
1980,2026,1000,Ferry County rural,,FALSE
1980,2026,1100,Franklin County rural,,FALSE
1980,2026,1102,Pasco,,FALSE
1994,2026,1103,Connell,,FALSE
1980,2026,1200,Garfield County rural,,FALSE
1980,2026,1300,Grant County rural,,FALSE
1980,2026,1304,Ephrata,,FALSE
1980,2026,1305,Moses Lake,,FALSE
1980,2026,1306,Quincy,,FALSE
2001,2026,1307,Mattawa,,FALSE
2001,2026,1308,Warden,,FALSE
1980,2026,1400,Grays Harbor County rural,,FALSE
1980,2026,1401,Aberdeen,,FALSE
1980,2026,1402,Hoquiam,,FALSE
1980,2026,1403,Montesano,,FALSE
1992,2026,1404,Elma,Using the latest time period only.,FALSE
1993,2026,1405,Ocean Shores,,FALSE
1980,2026,1500,Island County rural,,FALSE
1980,2026,1503,Oak Harbor,,FALSE
1980,2026,1600,Jefferson County rural,,FALSE
1980,2026,1603,Port Townsend,,FALSE
1980,2026,1700,King County rural,,FALSE
1980,2026,1701,Seattle,,FALSE
1980,2026,1702,Renton,,FALSE
1980,2026,1703,Auburn,,FALSE
1980,2026,1704,Enumclaw,,FALSE
1980,2026,1705,Kent,,FALSE
1980,2026,1706,Kirkland,,FALSE
1980,2026,1707,Bellevue,,FALSE
1980,2026,1708,Normandy Park,,FALSE
1980,2026,1709,Mercer Island,,FALSE
1980,2026,1710,Redmond,,FALSE
1980,2026,1711,Bothell,,FALSE
1992,2026,1712,Clyde Hill,Using the latest time period only.,FALSE
1980,2026,1713,Des Moines,,FALSE
1980,2026,1714,Issaquah,,FALSE
1987,2026,1715,Lake Forest Park,,FALSE
1980,2026,1716,Medina,,FALSE
1980,2026,1717,Tukwila,,FALSE
1986,2026,1718,Pacific,,FALSE
1990,2026,1719,Federal Way,,FALSE
1990,2026,1720,SeaTac,,FALSE
1992,2026,1721,Duvall,,FALSE
1992,2026,1722,North Bend,,FALSE
1993,2026,1723,Burien,,FALSE
1993,2026,1724,Woodinville,,FALSE
1995,2026,1725,Newcastle,,FALSE
1997,2026,1726,Shoreline,,FALSE
1998,2026,1727,Black Diamond,,FALSE
1998,2026,1728,Covington,,FALSE
1998,2026,1729,Maple Valley,,FALSE
2000,2026,1730,Kenmore,,FALSE
2000,2026,1731,Sammamish,,FALSE
2001,2026,1732,Algona,,FALSE
2001,2026,1733,Snoqualmie,,FALSE
1980,2026,1800,Kitsap County rural,,FALSE
1980,2026,1802,Bremerton,,FALSE
1980,2026,1803,Port Orchard,,FALSE
1980,2026,1804,Poulsbo,,FALSE
1985,2026,1805,Bainbridge Island (formerly Winslow),,FALSE
1980,2026,1900,Kittitas County rural,,FALSE
1980,2026,1903,Ellensburg,,FALSE
1980,2026,2000,Klickitat County rural,,FALSE
1980,2026,2003,Goldendale,,FALSE
1980,2026,2100,Lewis County rural,,FALSE
1980,2026,2103,Centralia,,FALSE
1980,2026,2104,Chehalis,,FALSE
1980,2026,2200,Lincoln County rural,,FALSE
1980,2026,2300,Mason County rural,,FALSE
1980,2026,2303,Shelton,,FALSE
2010,2026,2400,Okanogan County rural,,FALSE
1980,2026,2403,Omak,,FALSE
1980,2026,2410,Okanogan,,FALSE
1980,2026,2500,Pacific County rural,,FALSE
1980,2026,2503,Raymond,,FALSE
1980,2026,2600,Pend Oreille County rural,,FALSE
1980,2026,2700,Pierce County rural,,FALSE
1980,2026,2701,Tacoma,,FALSE
1980,2026,2702,Puyallup,,FALSE
1980,2026,2703,Sumner,,FALSE
1980,2026,2704,Buckley,,FALSE
1980,2026,2705,Fircrest,,FALSE
1980,2026,2706,Bonney Lake,,FALSE
1980,2026,2707,Milton,,FALSE
1980,2026,2708,Steilacoom,,FALSE
1984,2026,2709,Gig Harbor,,FALSE
1987,2026,2710,Fife,,FALSE
1996,2026,2711,Edgewood,,FALSE
1996,2026,2712,Lakewood,,FALSE
1996,2026,2713,University Place,,FALSE
1997,2026,2714,Orting,,FALSE
2001,2026,2715,Du Pont,,FALSE
2006,2026,2716,Auburn,,FALSE
1980,2026,2800,San Juan County rural,,FALSE
1980,2026,2900,Skagit County rural,,FALSE
1980,2026,2903,Anacortes,,FALSE
1980,2026,2904,Mount Vernon,,FALSE
1980,2026,2905,Sedro Woolley,,FALSE
1980,2026,2906,Burlington,,FALSE
1980,2026,3000,Skamania County rural,,FALSE
1980,2026,3100,Snohomish County rural,,FALSE
1980,2026,3101,Arlington,,FALSE
1980,2026,3102,Everett,,FALSE
1980,2026,3103,Snohomish,,FALSE
1980,2026,3104,Edmonds,,FALSE
1980,2026,3105,Lynnwood,,FALSE
1980,2026,3106,Marysville,,FALSE
1980,2026,3107,Mountlake Terrace,,FALSE
1980,2026,3108,Brier,,FALSE
1980,2026,3109,Monroe,,FALSE
1982,2026,3110,Mukilteo,,FALSE
1985,2026,3111,Mill Creek,,FALSE
1988,2026,3112,Lake Stevens,,FALSE
1993,2026,3113,Bothell,,FALSE
1994,2026,3114,Sultan,,FALSE
1995,2026,3115,Stanwood,,FALSE
2001,2026,3116,Granite Falls,,FALSE
1980,2026,3200,Spokane County rural,,FALSE
1980,2026,3201,Spokane (City),,FALSE
1980,2026,3203,Medical Lake,,FALSE
1980,2026,3204,Cheney,,FALSE
1994,2026,3205,Airway Heights,,FALSE
1994,2026,3206,Deer Park,,FALSE
2003,2026,3207,Liberty Lake,,FALSE
2004,2026,3208,Spokane Valley,,FALSE
1980,2026,3300,Stevens County rural,,FALSE
1980,2026,3303,Colville,,FALSE
1980,2026,3400,Thurston County rural,,FALSE
1980,2026,3402,Olympia,,FALSE
1980,2026,3403,Tumwater,,FALSE
1980,2026,3404,Lacey,,FALSE
1998,2026,3405,Yelm,,FALSE
1980,2026,3500,Wahkiakum County rural,,FALSE
1980,2026,3600,Walla Walla County rural,,FALSE
1980,2026,3602,Walla Walla (City),,FALSE
1980,2026,3603,College Place,,FALSE
1980,2026,3700,Whatcom County rural,,FALSE
1980,2026,3702,Bellingham,,FALSE
1980,2026,3703,Lynden,,FALSE
1980,2026,3704,Ferndale,,FALSE
1990,2026,3705,Blaine,Using the latest time period only.,FALSE
2015,2026,3706,Everson,After 2010 data vintage,TRUE
1980,2026,3800,Whitman County rural,,FALSE
1980,2026,3802,Pullman,,FALSE
1980,2026,3803,Colfax,,FALSE
1980,2026,3900,Yakima County rural,,FALSE
1980,2026,3902,Yakima (City),,FALSE
1980,2026,3903,Sunnyside,,FALSE
1980,2026,3904,Toppenish,,FALSE
1980,2026,3905,Grandview,,FALSE
1980,2026,3906,Wapato,,FALSE
1980,2026,3907,Selah,,FALSE
1980,2026,3908,Union Gap,,FALSE
2001,2026,3909,Granger,,FALSE
2006,2026,3910,Zillah,,FALSE
2010,2026,3911,Moxee,,FALSE
