code,label,notes,review_flag
0000,Non-Washington State or Unknown ,,FALSE
9999,Non-Washington State or Unknown ,,FALSE
0100,Adams County rural,,FALSE
0103,Othello,,FALSE
0200,Asotin County rural,,FALSE
0203,Clarkston,,FALSE
0300,Benton County rural,,FALSE
0301,Kennewick,,FALSE
0302,Richland,,FALSE
0303,Prosser,,FALSE
0304,West Richland,,FALSE
0305,Benton City,,FALSE
0400,Chelan County rural,,FALSE
0402,Wenatchee,,FALSE
0403,Chelan,,FALSE
0404,Cashmere,,FALSE
0500,Clallam County rural,,FALSE
0501,Forks,,FALSE
0502,Port Angeles,,FALSE
0503,Sequim,,FALSE
0600,Clark County rural,,FALSE
0602,Vancouver,,FALSE
0603,Camas,,FALSE
0604,Washougal,,FALSE
0605,Battle Ground,,FALSE
0606,Ridgefield,,FALSE
0607,La Center,,FALSE
0700,Columbia County rural,,FALSE
0703,Dayton,Using the latest time period only.,FALSE
0800,Cowlitz County rural,,FALSE
0802,Longview,,FALSE
0803,Kelso,,FALSE
0804,Woodland,,FALSE
0805,Kalama,,FALSE
0900,Douglas County rural,,FALSE
0901,East Wenatchee,,FALSE
1000,Ferry County rural,,FALSE
1100,Franklin County rural,,FALSE
1102,Pasco,,FALSE
1103,Connell,,FALSE
1200,Garfield County rural,,FALSE
1300,Grant County rural,,FALSE
1304,Ephrata,,FALSE
1305,Moses Lake,,FALSE
1306,Quincy,,FALSE
1307,Mattawa,,FALSE
1308,Warden,,FALSE
1400,Grays Harbor County rural,,FALSE
1401,Aberdeen,,FALSE
1402,Hoquiam,,FALSE
1403,Montesano,,FALSE
1404,Elma,Using the latest time period only.,FALSE
1405,Ocean Shores,,FALSE
1500,Island County rural,,FALSE
1503,Oak Harbor,,FALSE
1600,Jefferson County rural,,FALSE
1603,Port Townsend,,FALSE
1700,King County rural,,FALSE
1701,Seattle,,FALSE
1702,Renton,,FALSE
1703,Auburn,,FALSE
1704,Enumclaw,,FALSE
1705,Kent,,FALSE
1706,Kirkland,,FALSE
1707,Bellevue,,FALSE
1708,Normandy Park,,FALSE
1709,Mercer Island,,FALSE
1710,Redmond,,FALSE
1711,Bothell,,FALSE
1712,Clyde Hill,Using the latest time period only.,FALSE
1713,Des Moines,,FALSE
1714,Issaquah,,FALSE
1715,Lake Forest Park,,FALSE
1716,Medina,,FALSE
1717,Tukwila,,FALSE
1718,Pacific,,FALSE
1719,Federal Way,,FALSE
1720,SeaTac,,FALSE
1721,Duvall,,FALSE
1722,North Bend,,FALSE
1723,Burien,,FALSE
1724,Woodinville,,FALSE
1725,Newcastle,,FALSE
1726,Shoreline,,FALSE
1727,Black Diamond,,FALSE
1728,Covington,,FALSE
1729,Maple Valley,,FALSE
1730,Kenmore,,FALSE
1731,Sammamish,,FALSE
1732,Algona,,FALSE
