code,label,city,notes,review_flag
1,Abbey View Memorial Park,Brier,,FALSE
2,Acacia Memorial Park,Seattle,,FALSE
3,American Legion Cemetery,Granite Falls,,FALSE
4,Amos C Hesser,Long View,,FALSE
5,Anton Anderson/Cedarhome Cemeteries,Stanwood,,FALSE
6,Artondale Cemetery,Gig Harbor,,FALSE
7,Bayview Cemetery,Mount Vernon,,FALSE
8,Bear Creek Cemetery,Snohomish,,FALSE
9,Bess Hampton Memorial Gardens,Othello,,FALSE
9,Bess Hampton Memorial Park,Othello,,FALSE
10,Bethel Cemetery,Steptoe,,FALSE
11,Benton City Cemetery,Benton City,,FALSE
12,Calvary Cemetery,Tacoma,,FALSE
13,Camas Cemetery,Camas,,FALSE
14,Cedar Lawns Memorial Park,Redmond,,FALSE
15,Cherry Grove Memorial Park,Poulsbo,,FALSE
16,Claquato Cemetery,Chehalis,,FALSE
17,Columbia Memorial Gardens,Pasco,,FALSE
17,Columbia Memorial Gardens,Pasco,,FALSE
18,Conconully Cemetery,Conconully,,FALSE
19,Cowlitz View Memorial Gardens,Kelso,,FALSE
20,Crown Hill Cemetery,Seattle,,FALSE
21,Curlew Cemetery,Curlew,,FALSE
22,Cypress Lawn Memorial Park,Everett,,FALSE
23,Deer Park Woodland Cemetery,Deer Park,,FALSE
24,Desert Lawn Memorial Park,Kennewick,,FALSE
25,Dungeness Cemetery,Sequim,,FALSE
26,Evergreen Cemetery,Benton City,,FALSE
27,Evergreen Memorial Gardens,Vancouver,,FALSE
28,Evergreen Memorial Park,Seattle,,FALSE
29,Evergreen Memorial Park,East Wenatchee,,FALSE
29,Evergreen Memorial Park,East Wenatchee,,FALSE
30,Spokane-Cheney Memorial Gardens,Spokane,,FALSE
31,Fairview Cemetery,Cheney,,FALSE
32,Fairview Cemetery,Rockford,,FALSE
33,Fern Hill Cemetery,Aberdeen,,FALSE
34,Fern Hill Cemetery,Menlo,,FALSE
35,Fir Lane Memorial Park,Spanaway,,FALSE
36,Forest Lawn Cemetery,Seattle,,FALSE
37,Forest Lawn Cemetery,Bremerton,,FALSE
38,Forest Memorial Gardens,Lacey,,
39,Freeman Evergreen Cemetery,Freeman,,
40,Gar Snohomish Cemetery,Snohomish,,
40,Gar,Snohomish,,
40,G.A.R. Cemetery,Snohomish,,
40,Grand Army Of The Republic Cemetery,Snohomish,,
41,Gig Harbor Cemetery,Gig Harbor,,
42,Green Hills Memorial Gardens,Kelso,,
43,Moles Greenacres Memorial Park,Ferndale,,
44,Sticklin Greenwood Memorial Park,Centralia,,
45,Greenwood Memorial Park,Renton,,
46,Greenwood Memorial Terrace,Spokane,,
47,Hansville Cemetery,Hansville,,
48,Haven Of Rest Memorial Park,Gig Harbor,,
49,Hawthorne Memorial Park,Mount Vernon,,
50,High Valley Cemetery,Ellensburg,,
51,Highland Cemetery,Colville,,
52,Hillcrest Burial Park,Kent,,
53,Hillcrest Cemetery,Bainbridge Island,,
54,Hillgrove Cemetery,Seatac,,
55,Hillsdale Cemetery,Blaine,,
56,Hopewell Cemetery,Everson,,
57,Ilwaco Cemetery,Ilwaco,,
58,Ioof Alder Cemetery,Mossyrock,,
59,I.O.O.F Cemetery,Ellensburg,,
59,Ioof,Ellensburg,,
59,Ioof Cemetery Ellensburg,Ellensburg,,
60,Ioof Cemetery Monroe,Monroe,,
61,Evergreen Ioof Cemetery,Rosalia,,
61,Ioof Evergreen Cemetery,Rosalia,,
62,Kingston Cemetery,Kingston,,
63,Lake View Cemetery,Seattle,,
64,Longbranch Cemetery,Longbranch,,
65,Lower Valley Memorial Gardens,Sunnyside,,
66,Machias Community Cemetery,Machias,,
67,Mallard Ranch Memorial Cemetery,Bellingham,,
68,Maple Valley Cemetery,Maple Valley,,
68,Hobart Cemetery,Maple Valley,,
69,Masonic Memorial Park,Tumwater,,
70,Memory Memorial Park,Vancouver,,
71,Meridian Cemetery,Graham,,
72,Methow Cemetery,Pateros,,
73,Meyers Falls Cemetery,Kettle Falls,,
74,Mica Peak Cemetery,Saxby,,
75,Miller Cemetery,Shelton,,
76,Miller-Woodlawn Memorial Park,Bremerton,,
77,Monumenta Cemetery,Lynden,,
77,Monumenta  Cemetery,Lynden,,
78,Mount Angeles Crematory,Port Angeles,,
78,Mount Angeles Memorial Park,Port Angeles,,
79,Mt. Pleasant Cemetery,Seattle,,
79,Mount Pleasant Cemetery,Seattle,,
80,Mount Pleasant Cemetery,Washougal,,
81,Mount Si Memorial Cemetery,North Bend,,
82,Mount Vernon Cemetery,Mount Vernon,,
83,Mountain Crest Memorial Park,Seattle,,
84,Mountain View Cemetery,Centralia,,
84,Mt View Cemetery   ,Centralia,,
85,Mountain View Ioof Cemetery,Goldendale,,
86,Mountain View Memorial Park,Lakewood,,
87,Mountain View Park,Colville,,
87,Mountain View Cemetery,Colville,,
88,Mt. Hope Cemetery,College Place,,
88,Mt Hope Cemetery  College Place,College Place,,
88,Mount Hope Cemetery,College Place,,
89,Mount Olivet Cemetery,Renton,,
89,Mt. Olivet Cemetery,Renton,,
89,Mt Olivet Cemetery,Renton,,
90,New England Cemetery,Cheney,,
91,New Tacoma Cemetery,University Place,,
92,Northwood Park Cemetery,Ridgefield,,
93,Oakwood Hill Cemetery,Tacoma,,
94,Odd Fellows Memorial Park,Tumwater,,
95,Okanogan Memorial Gardens,Okanogan,,
96,Olympic Memorial Gardens,Tumwater,,
97,Oysterville Cemetery,Oysterville,,
98,Palmer Family Cemetery,Tonasket,,
99,Paterson Memorial Cemetery,Paterson,,
100,Pine Creek Pioneer Cemetery,Tonasket,,
101,Pines Cemetery,Spokane,,
102,Pioneer Memorial Gardens,Moses Lake,,
103,Pleasant Hill Cemetery,Chehalis,,
104,Pleasant Prairie Cemetery,Spokane,,
105,Port Blakely Cemetery,Bainbridge Island,,
106,Powers Woodlawn Abbey Mausoleum,Puyallup,,
107,Prosser Cemetery,Prosser,,
108,Purdy/Walters At Floral Hills,Lynnwood,,
109,Queen Anne Crematory,Seattle,,
110,Redmond Cemetery,Redmond,,
111,Republic Cemetery,Republic,,
112,Restlawn Memorial Park,Edmonds,,
112,Restlawn,Edmonds,,
113,Riverside Memorial Cemetery,Spokane,,
113,Riverside Memorial Park,Spokane,,
113,Riverside Memorial Park,Spokane,,
114,Riverton Crest Cemetery,Tukwila,,
115,Riverview Heights Cemetery,Kennewick,,
116,Rosewood Cemetery,Fairfield,,
117,Roy Cemetery,Roy,,
118,Satsop Cemetery,Satsop,,
119,Seabold Cemetery,Bainbridge Island,,
120,Sequim View Cemetery,Sequim,,
121,Sharon Cemetery,Oakville,,
122,Shelton Memorial Park,Shelton,,
123,South Pines Cemetery,Spokane Valley,,
124,Spanaway Cemetery,Spanaway,,
125,Fairmount Memorial Park,Spokane,,
125,Spokane Memorial Garden Cemetery,Spokane,,
126,Spring Canyon Cemetery,Grand Coulee,,
127,Steilacoom Masonic Cemetery,Tacoma,,
128,Suise Creek Cemetery,Renton,,
129,Sunnyside Cemetery,Sunnyside,,
130,Sunset Hills Memorial Park,Bellevue,,
131,Sunset Lane Cemetery,Port Orchard,,
132,Sunset Memorial Gardens,Richland,,
132,Sunset Memorial Gardens,Richland,,
134,Tahlequah Memorial Park,Sultan,,
135,Eagle Cliff Cemetery,Curlew,,
136,Valley View Memorial Park,Soap Lake,,
137,Vineland Cemetery,Clarkston,,
138,Evergreen Washelli Cemetery,Seattle,,
138,Evergreen Washelli Memorial Park,Seattle,,
138,Washelli Cemetery,Seattle,,
139,Washington Memorial Park,Seatac,,
140,Weber Cemetery,Vancouver,,
141,Wenas Cemetery,Selah,,
142,Outlook Cemetery,Sunnyside,,
143,Wilson Bridge Cemetery,Vancouver,,
144,Woodlawn Cemetery,Snohomish,,
145,Woodlawn Gardens,Lacey,,
145,Woodlawn Cemetery,Lacey,,
146,Tahoma National Cemetery,Kent,,
146,Tahoma National Cemetery,,,
147,Washington Soldiers' Cemetery,Orting,,
148,Woodbine Cemetery,Puyallup,,
149,Getsemone Cemetery,Federal Way,,
149,Gethsemane Cemetery,Federal Way,,
149,Gethsemane,Federal Way,,
150,Sumner City Cemetery,Sumner,,
151,Enumclaw Evergreen Memorial Park,Enumclaw,,
151,Evergreen Memorial Park,Enumclaw,,
152,Buckley City Cemetery,Buckley,,
153,Holy Cross Cemetery,Spokane,,
153,Holy Cross Cemetery,Spokane,,
154,Woodlawn Cemetery,Spokane Valley,,
155,Cromwell Cemetery,Gig Harbor,,
156,Mountain View Cemetery,Auburn,,
156,Mt. View Cemetery,Auburn,,
157,Orting Cemetery,Orting,,
158,Calvary Catholic Cemetery,Seattle,,
158,Cavalry Cemetery,Seattle,,
159,Holyrood Catholic Cemetery,Shoreline,,
159,Holyrood Cemetery,Shoreline,,
159,Holyrood Cemetery,Shoreline,,
160,St. Patrick Cemetery,Kent,,
160,St Patricks Cemetery,Kent,,
161,Saltese Cemetery,Greenacres,,
162,Cushman Cemetery,Tacoma,,
163,Tacoma Cemetery,Tacoma,,
163,Old Tacoma Cemetery,Tacoma,,
164,Rosedale Cemetery,Gig Harbor,,
165,Vaughn Bay Cemetery,Vaughn Bay,,
166,Mt View Cemetery,Connell,,
166,Connell Cemetery,Connell,,
167,Wilkeson Catholic Cemetery,Wilkeson,,
168,Rockford Cemetery,Rockford,,
