code,label,city,state,notes,review_flag
101,Acacia Memorial Park & Funeral Home,Seattle,WA,,FALSE
102,Cascadia Cremation & Burial Services,Vancouver,WA,,FALSE
109,American Memorial Funeral Directors,Tacoma,WA,,FALSE
111,American Memorial Funeral Directors,Everett,WA,,FALSE
112,American Memorial,Renton,WA,,FALSE
116,"Brookside Funeral Home & Crematory, Inc.",Ellensburg,WA,,FALSE
123,Alpha-Omega Burial & Cremation,Mount Vernon,WA,,FALSE
130,A Sacred Moment Funeral Service,Everett,WA,,FALSE
132,American Cremation and Casket Alliance,Stanwood,WA,,FALSE
133,"Brookside Funeral Home & Crematory, Inc.",Moxee,WA,,FALSE
134,All County Cremation and Burial Service,Vancouver,WA,,FALSE
175,National Cremation Society,Tukwila,WA,,FALSE
201,Ball & Dodd Funeral Home,Spokane,WA,,FALSE
202,Pioneer Memorial Services,Moses Lake,WA,,FALSE
205,Barnes Chapel,Brewster,WA,,FALSE
206,Bauer Funeral Chapel,Snohomish,WA,,FALSE
207,Beck's Tribute Center,Edmonds,WA,,FALSE
208,Bergh Funeral Service,Oroville,WA,,FALSE
215,"Brown's Funeral Home, Inc",Camas,WA,,FALSE
216,Hillcrest Funerals and Cremation ,Pasco,WA,,FALSE
218,"Burley Funeral Chapel, Inc",Oak Harbor,WA,,FALSE
219,Butterworth Funeral Home,Seattle,WA,,FALSE
220,Bruning Funeral Home,Colfax,WA,,FALSE
233,Bonney-Watson Washington Memorial,Sea Tac,WA,,FALSE
235,Bonney-Watson Federal Way,Federal Way,WA,,FALSE
238,Barton Family Funeral Service ,Kirkland,WA,,FALSE
297,Cady Cremation Services,Kent,WA,,FALSE
298,Cremation Society Northwest,Seattle,WA,,FALSE
301,Cattermole Funeral Home Inc,Winlock,WA,,FALSE
303,Coleman Mortuary Inc,Hoquiam,WA,,FALSE
305,Colonial Funeral Home,Toppenish,WA,,FALSE
307,Columbia Funeral Home,Seattle,WA,,FALSE
