from_name,to_name,start_year,end_year,domain,notes
statebir,birthplace_state_fips_code,2010,2015,code_sets,See NCHS State Codes
bcountry,birthplace_country,2010,2015,code_sets,See WA Country Codes
city_occ,death_county_city_wa_code,2010,2015,code_sets,See WA County City Codes
cnty_occ,death_county_wa_code,2010,2015,code_sets,See WA County City Codes
facility,death_facility,2010,2015,code_sets,See Facility Codes
occ_sam,occupation_milham,2010,2015,code_sets,See Milham Codes
city_res,residence_county_city_wa_code,2010,2015,code_sets,See WA County City Codes
cnty_res,residence_county_wa_code,2010,2015,code_sets,See WA County City Codes
st_res,residence_state_fips_code,2010,2015,code_sets,See NCHS State Codes
res_trbc,res_tribal_reservation_code,2010,2015,no_crosswalk_needed,See Tribal Reservation Codes
city_inj,injury_county_city_wa_code,2010,2015,code_sets,See WA County City Codes
cnty_inj,injury_county_wa_code,2010,2015,code_sets,See WA County City Codes
funeralc,funeral_home_code,2010,2015,code_sets,See Funeral Home Codes
disp_fac,disposition_facility_code,2010,2015,code_sets,See Cemetery Codes
sex,sex,2010,2015,demographics,
ageunit|age_unit,age_type,2010,2015,demographics,
armforce|arm_force,armed_forces,2010,2015,demographics,
married,marital_status,2010,2015,demographics,
educ,education,2010,2015,demographics,
edu_le8,education_8_or_less,2010,2015,demographics,
pregstat|preg_stat,pregnancy,2010,2015,demographics,
tbcontri|tb_contri,tobacco,2010,2015,demographics,
hisp_no,hispanic_no,2010,2015,demographics,
hisp_mex,hispanic_mexican,2010,2015,demographics,
hisp_pr,hispanic_puerto_rican,2010,2015,demographics,
hisp_cub,hispanic_cuban,2010,2015,demographics,
hisp_oth,hispanic_other,2010,2015,demographics,
hisp,hispanic_nchs_bridge,2010,2015,demographics,
race_wht,race_white,2010,2015,demographics,
race_blk,race_black,2010,2015,demographics,
race_ami,race_amer_indian_alaskan,2010,2015,demographics,
race_asi,race_asian_indian,2010,2015,demographics,
race_chi,race_chinese,2010,2015,demographics,
race_fil,race_filipino,2010,2015,demographics,
race_jap,race_japanese,2010,2015,demographics,
race_kor,race_korean,2010,2015,demographics,
race_vie,race_vietnamese,2010,2015,demographics,
race_oas,race_other_asian,2010,2015,demographics,
race_haw,race_hawaiian,2010,2015,demographics,
race_gua,race_guamanian_or_chamorro,2010,2015,demographics,
race_sam,race_samoan,2010,2015,demographics,
race_opi|race_o_pi,race_other_pacific_islander,2010,2015,demographics,
race_oth,race_other,2010,2015,demographics,
brg_race,bridge_race,2010,2015,demographics,
sum_race,race_summary_code,2010,2015,demographics,
race,race_calculation,2010,2015,demographics,
st_occ,death_state,2010,2015,code_sets,
incity|in_city,residence_city_limits,2010,2015,geography,
res_lena,residence_length_type,2010,2015,geography,
st_inj,injury_state,2010,2015,code_sets,
dod_modi|dod_mod,date_of_death_modifier,2010,2015,incident_information,
fac_type,place_of_death_type,2010,2015,incident_information,
disptype|disp_type,disposition,2010,2015,incident_information,
attclass|att_class,certifier_designation,2010,2015,incident_information,
referred,me_coroner_referred,2010,2015,incident_information,
autopsy,autopsy,2010,2015,incident_information,
autopava|autop_ava,autopsy_available,2010,2015,incident_information,
rinj_caus|r_inj_caus,manner,2010,2015,injury,
injpnchs|inj_p_nchs,injury_acme_place,2010,2015,injury,
injatwrk|inj_at_wrk,injury_at_work,2010,2015,injury,
transinj|trans_inj,injury_transportation,2010,2015,injury,
certno,state_file_number,2010,2015,no_crosswalk_needed,
underly,underlying_cod_code,2010,2015,no_crosswalk_needed,
mltcse1,record_axis_code_1,2010,2015,no_crosswalk_needed,
mltcse2,record_axis_code_2,2010,2015,no_crosswalk_needed,
mltcse3,record_axis_code_3,2010,2015,no_crosswalk_needed,
mltcse4,record_axis_code_4,2010,2015,no_crosswalk_needed,
mltcse5,record_axis_code_5,2010,2015,no_crosswalk_needed,
mltcse6,record_axis_code_6,2010,2015,no_crosswalk_needed,
mltcse7,record_axis_code_7,2010,2015,no_crosswalk_needed,
mltcse8,record_axis_code_8,2010,2015,no_crosswalk_needed,
mltcse9,record_axis_code_9,2010,2015,no_crosswalk_needed,
mltcse10,record_axis_code_10,2010,2015,no_crosswalk_needed,
