file_year,variable,from_code,from_label,to_code,to_label,notes,review_flag
2020,disposition,A,,U,Unknown,Not in data dictionary,TRUE
2020,disposition,S,,U,Unknown,Not in data dictionary,TRUE
2020,hispanic_cuban,H,Hispanic,Y,Yes,,FALSE
2020,hispanic_mexican,H,Hispanic,Y,Yes,,FALSE
2020,hispanic_other,H,Hispanic,Y,Yes,,FALSE
2020,hispanic_puerto_rican,H,Hispanic,Y,Yes,,FALSE
2020,injury_acme_place,A,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,B,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,C,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,K,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,L,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,O,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,P,,9,Unspecified Place,Not in data dictionary,TRUE
2020,injury_acme_place,Q,,9,Unspecified Place,Not in data dictionary,TRUE
2020,tobacco,C,,U,Unknown,Not in data dictionary,TRUE
