from_name,to_name,missing,notes
ageunum,age,FALSE,
ageunit,age_type,FALSE,
armforce,armed_forces,FALSE,
autopsy,autopsy,FALSE,
bcountry,bcountry,FALSE,
attclass,certifier_designation,FALSE,
dob,date_of_birth,FALSE,
certno,state_file_number,FALSE,
city_inj,injury_county_city_wa_code,FALSE,
cnty_inj,injury_county_wa_code,FALSE,
city_occ,death_county_city_wa_code,FALSE,
city_res,residence_county_city_wa_code,FALSE,
cnty_res,residence_county_wa_code,FALSE,
city_inj,injury_county_city_wa_code,FALSE,
cnty_inj,injury_county_wa_code,FALSE,
cntyfile,local_file_number,FALSE,
disp_fac,disposition_facility_code,TRUE,No disp_fac variable in data set
dispdate,disposition_date,FALSE,
disptype,disposition,FALSE,
dob,date_of_birth,FALSE,
dod_modi,date_of_death,FALSE,
dth_date,date_of_death_modifier,FALSE,
dth_hour,time_of_death_hour,FALSE,
dth_min,time_of_death_minutes,FALSE,
edu_le8,education_8_or_less,FALSE,
educ,education,FALSE,
fac_type,place_of_death_type,FALSE,
facility,death_facility,FALSE,
funeralc,funeral_home_code,FALSE,
hisp,hispanic_nchs_bridge,FALSE,
hisp_cub,hispanic_cuban,FALSE,
hisp_mex,hispanic_mexican,FALSE,
hisp_no,hispanic_no,FALSE,
hisp_oth,hispanic_other,FALSE,
hisp_pr,hispanic_puerto_rican,FALSE,
incity,residence_city_limits,FALSE,
ind_lit,industry,FALSE,
informrl,informant_relationship,FALSE,
injatwrk,injury_at_work,FALSE,
injplace,injury_place,FALSE,
injpnchs,injury_acme_place,FALSE,
married,marital_status,FALSE,
mltcse1,record_axis_code_1,FALSE,
mltcse2,record_axis_code_2,FALSE,
mltcse3,record_axis_code_3,FALSE,
mltcse4,record_axis_code_4,FALSE,
mltcse5,record_axis_code_5,FALSE,
mltcse6,record_axis_code_6,FALSE,
mltcse7,record_axis_code_7,FALSE,
mltcse8,record_axis_code_8,FALSE,
mltcse9,record_axis_code_9,FALSE,
mltcse10,record_axis_code_10,FALSE,
mltcse11,record_axis_code_11,FALSE,
mltcse12,record_axis_code_12,FALSE,
mltcse13,record_axis_code_13,FALSE,
mltcse14,record_axis_code_14,FALSE,
mltcse15,record_axis_code_15,FALSE,
mltcse16,record_axis_code_16,FALSE,
mltcse17,record_axis_code_17,FALSE,
mltcse18,record_axis_code_18,FALSE,
mltcse19,record_axis_code_19,FALSE,
mltcse20,record_axis_code_20,FALSE,
occ_lit,occupation,FALSE,
pregstat,pregnancy,FALSE,
rinj_caus ,manner,FALSE,
race,race_calculation,FALSE,
race_AMI,race_amer_indian_alaskan,FALSE,
race_ASI,race_asian_indian,FALSE,
race_blk,race_black,FALSE,
race_chi,race_chinese,FALSE,
race_fil,race_filipino,FALSE,
race_gua,race_guamanian_or_chamorro,FALSE,
race_haw,race_hawaiian,FALSE,
race_jap,race_japanese,FALSE,
race_kor,race_korean,FALSE,
race_oPI,race_other_pacific_islander,FALSE,
race_oth,race_other,FALSE,
race_sam,race_samoan,FALSE,
race_vie,race_vietnamese,FALSE,
race_wht,race_white,FALSE,
rcvdt,date_received,FALSE,
referred,me_coroner_referred,FALSE,
res_auni,residence_length,FALSE,
res_lena,residence_length_type,FALSE,
rinj_caus ,manner,FALSE,
sex,sex,FALSE,
st_inj,injury_state,FALSE,
st_occ,death_state,FALSE,
st_res,residence_state_fips_code,FALSE,
statebir,birthplace_state_fips_code,FALSE,
sum_race,race_summary_code,FALSE,
tbcontri,tobacco,FALSE,
transinj,injury_transportation,FALSE,
underly,underlying_cod_code,FALSE,
zip_occ,death_zip_code,FALSE,
zipcode,residence_zip_code,FALSE,
zipinjoc,injury_zip_code,FALSE,
