file_year,from_name,to_name,missing,notes
,,age,FALSE,
,,age_type,FALSE,
,,age_years,FALSE,
,,armed_forces,FALSE,
,,autopsy,FALSE,
,,birthplace_country,FALSE,
,,birthplace_state_fips_code,FALSE,
,,certifier_designation,FALSE,
,,date_of_birth,FALSE,
,,date_of_death,FALSE,
,,date_of_death_modifier,FALSE,
,,date_of_injury,FALSE,
,,date_received,FALSE,
,,death_county_city_wa_code,FALSE,
,,death_county_wa_code,FALSE,
,,death_facility,FALSE,
,,death_state,FALSE,
,,death_zip_code,FALSE,
,,disposition,FALSE,
,,disposition_date,FALSE,
,,disposition_facility_name,,Only disposition facility codes provided before 2016; only disposition facility names provided 2016 and later
,,disposition_facility_code,,Only disposition facility codes provided before 2016; only disposition facility names provided 2016 and later
,,education,FALSE,
,,education_8_or_less,FALSE,
,,funeral_home_name,,Only funeral home codes provided before 2016; only funeral home names provided 2016 and later
,,funeral_home_code,,Only funeral home codes provided before 2016; only funeral home names provided 2016 and later
,,hispanic_cuban,FALSE,
,,hispanic_mexican,FALSE,
,,hispanic_nchs_bridge,FALSE,
,,hispanic_no,FALSE,
,,hispanic_other,FALSE,
,,hispanic_puerto_rican,FALSE,
,,industry,FALSE,
,,informant_relationship,FALSE,
,,injury_acme_place,FALSE,
,,injury_at_work,FALSE,
,,injury_county_city_wa_code,FALSE,
,,injury_county_wa_code,FALSE,
,,injury_place,FALSE,
,,injury_state,FALSE,
,,injury_zip_code,FALSE,
,,local_file_number,FALSE,
,,manner,FALSE,
,,marital_status,FALSE,
,,me_coroner_referred,FALSE,
,,occupation,FALSE,
,,place_of_death_type,FALSE,
,,pregnancy,FALSE,
,,race_amer_indian_alaskan,FALSE,
,,race_asian_indian,FALSE,
,,race_black,FALSE,
,,race_chinese,FALSE,
,,race_filipino,FALSE,
,,race_guamanian_or_chamorro,FALSE,
,,race_hawaiian,FALSE,
,,race_japanese,FALSE,
,,race_korean,FALSE,
,,race_other,FALSE,
,,race_other_asian,FALSE,
,,race_other_pacific_islander,FALSE,
,,race_samoan,FALSE,
,,race_summary_code,FALSE,
,,race_vietnamese,FALSE,
,,race_white,FALSE,
,,record_axis_code_1,FALSE,
,,record_axis_code_10,FALSE,
,,record_axis_code_11,FALSE,
,,record_axis_code_12,FALSE,
,,record_axis_code_13,FALSE,
,,record_axis_code_14,FALSE,
,,record_axis_code_15,FALSE,
,,record_axis_code_16,FALSE,
,,record_axis_code_17,FALSE,
,,record_axis_code_18,FALSE,
,,record_axis_code_19,FALSE,
,,record_axis_code_2,FALSE,
,,record_axis_code_20,FALSE,
,,record_axis_code_3,FALSE,
,,record_axis_code_4,FALSE,
,,record_axis_code_5,FALSE,
,,record_axis_code_6,FALSE,
,,record_axis_code_7,FALSE,
,,record_axis_code_8,FALSE,
,,record_axis_code_9,FALSE,
,,residence_city_limits,FALSE,
,,residence_county_city_wa_code,FALSE,
,,residence_county_wa_code,FALSE,
,,residence_length,FALSE,
,,residence_length_type,FALSE,
,,residence_state_fips_code,FALSE,
,,residence_zip_code,FALSE,
,,sex,FALSE,
,,state_file_number,FALSE,
,,time_of_death,,
,,time_of_death_hour,,
,,time_of_death_minutes,,
,,time_of_injury,,
,,time_of_injury_hour,,
,,time_of_injury_minutes,,
,,tobacco,FALSE,
,,underlying_cod_code,FALSE,
