from_name,to_name,domain,
age,age_years,not_categorical,
age_u_num,age,not_categorical,
age_unit,age_type,demographics,
ageunit,age_type,demographics,
ageunum,age,not_categorical,
arm_force,armed_forces,demographics,
armforce,armed_forces,demographics,
att_class,certifier_designation,incident_information,
attclass,certifier_designation,incident_information,
autopsy,autopsy,incident_information,
b_country,birthplace_country,code_sets,See WA Country Codes
bcountry,birthplace_country,code_sets,See WA Country Codes
cert_no,state_file_number,no_crosswalk_needed,
certno,state_file_number,no_crosswalk_needed,
city_inj,injury_county_city_wa_code,code_sets,See WA County City Codes
city_occ,death_county_city_wa_code,code_sets,See WA County City Codes
city_res,residence_county_city_wa_code,code_sets,See WA County City Codes
cnty_city_inj,injury_county_city_wa_code,code_sets,See WA County City Codes
cnty_city_occ,death_county_city_wa_code,code_sets,See WA County City Codes
cnty_city_res,residence_county_city_wa_code,code_sets,See WA County City Codes
cnty_file,local_file_number,not_categorical,
cnty_inj,injury_county_wa_code,code_sets,See WA County City Codes
cnty_occ,death_county_wa_code,code_sets,See WA County City Codes
cnty_res,residence_county_wa_code,code_sets,See WA County City Codes
cntyfile,local_file_number,not_categorical,
disp_date,disposition_date,not_categorical,
disp_fac,disposition_facility_code,code_sets,See Cemetery Codes
disp_type,disposition,incident_information,
dispdate,disposition_date,not_categorical,
disptype,disposition,incident_information,
dob,date_of_birth,not_categorical,
dod_mod,date_of_death_modifier,incident_information,
dod_modi,date_of_death_modifier,incident_information,
dth_date,date_of_death,not_categorical,
dth_hour,time_of_death_hour,not_categorical,
dth_min,time_of_death_minutes,not_categorical,
edu,education_8_or_less,demographics,
edu_le8,education_8_or_less,demographics,
educ,education,demographics,
fac_type,place_of_death_type,incident_information,
facility,death_facility,code_sets,See Facility Codes
funeral_c,funeral_home_code,code_sets,See Funeral Home Codes
funeralc,funeral_home_code,code_sets,See Funeral Home Codes
hisp,hispanic_nchs_bridge,demographics,
hisp_cub,hispanic_cuban,demographics,
hisp_mex,hispanic_mexican,demographics,
hisp_no,hispanic_no,demographics,
hisp_oth,hispanic_other,demographics,
hisp_pr,hispanic_puerto_rican,demographics,
in_city,residence_city_limits,geography,
incity,residence_city_limits,geography,
ind_lit,industry,not_categorical,
inform_rl,informant_relationship,not_categorical,
informrl,informant_relationship,not_categorical,
inj_at_wrk,injury_at_work,injury,
inj_date,date_of_injury,not_categorical,
inj_hour,time_of_injury_hour,incident_information,
inj_min,time_of_injury_minutes,incident_information,
inj_p_nchs,injury_acme_place,injury,
inj_place,injury_place,no_crosswalk_needed,
injatwrk,injury_at_work,injury,
injplace,injury_place,no_crosswalk_needed,
injpnchs,injury_acme_place,injury,
married,marital_status,demographics,
mltcse1,record_axis_code_1,no_crosswalk_needed,
mltcse10,record_axis_code_10,no_crosswalk_needed,
mltcse11,record_axis_code_11,no_crosswalk_needed,
mltcse12,record_axis_code_12,no_crosswalk_needed,
mltcse13,record_axis_code_13,no_crosswalk_needed,
mltcse14,record_axis_code_14,no_crosswalk_needed,
mltcse15,record_axis_code_15,no_crosswalk_needed,
mltcse16,record_axis_code_16,no_crosswalk_needed,
mltcse17,record_axis_code_17,no_crosswalk_needed,
mltcse18,record_axis_code_18,no_crosswalk_needed,
mltcse19,record_axis_code_19,no_crosswalk_needed,
mltcse2,record_axis_code_2,no_crosswalk_needed,
mltcse20,record_axis_code_20,no_crosswalk_needed,
mltcse3,record_axis_code_3,no_crosswalk_needed,
mltcse4,record_axis_code_4,no_crosswalk_needed,
mltcse5,record_axis_code_5,no_crosswalk_needed,
mltcse6,record_axis_code_6,no_crosswalk_needed,
mltcse7,record_axis_code_7,no_crosswalk_needed,
mltcse8,record_axis_code_8,no_crosswalk_needed,
mltcse9,record_axis_code_9,no_crosswalk_needed,
occ_lit,occupation,not_categorical,
preg_stat,pregnancy,demographics,
pregstat,pregnancy,demographics,
r_inj_caus,manner,injury,
race,race_calculation,demographics,
race_ami,race_amer_indian_alaskan,demographics,
race_asi,race_asian_indian,demographics,
race_blk,race_black,demographics,
race_chi,race_chinese,demographics,
race_fil,race_filipino,demographics,
race_gua,race_guamanian_or_chamorro,demographics,
race_haw,race_hawaiian,demographics,
race_jap,race_japanese,demographics,
race_kor,race_korean,demographics,
race_o_pi,race_other_pacific_islander,demographics,
race_oas,race_other_asian,demographics,
race_opi,race_other_pacific_islander,demographics,
race_oth,race_other,demographics,
race_sam,race_samoan,demographics,
race_vie,race_vietnamese,demographics,
race_wht,race_white,demographics,
rcv_ft,date_received,not_categorical,
rcvdt,date_received,not_categorical,
referred,me_coroner_referred,incident_information,
res_auni,residence_length,not_categorical,
res_lena,residence_length_type,geography,
residence_length_units,residence_length_type,geography,
rinj_caus,manner,injury,
sex,sex,demographics,
st_inj,injury_state,code_sets,
st_occ,death_state,code_sets,
st_res,residence_state_fips_code,code_sets,See NCHS State Codes
state_bir,birthplace_state_fips_code,code_sets,See NCHS State Codes
statebir,birthplace_state_fips_code,code_sets,See NCHS State Codes
sum_race,race_summary_code,demographics,
tb_contri,tobacco,demographics,
tbcontri,tobacco,demographics,
trans_inj,injury_transportation,injury,
transinj,injury_transportation,injury,
underly,underlying_cod_code,no_crosswalk_needed,
zip_inj_oc,injury_zip_code,not_categorical,
zip_occ,death_zip_code,not_categorical,
zipcode,residence_zip_code,not_categorical,
zipinjoc,injury_zip_code,not_categorical,
