recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
TRUE,age_type,BEDROCK,0,Years 1 to 99,WHALES,1,Years,NA,FALSE,demographics
FALSE,age_type,BEDROCK,1,Years 100 or More,WHALES,1,Years,NA,FALSE,demographics
FALSE,age_type,BEDROCK,2,Months,WHALES,2,Months,NA,FALSE,demographics
FALSE,age_type,BEDROCK,4,Days,WHALES,3,Days,NA,FALSE,demographics
FALSE,age_type,BEDROCK,5,Hours,WHALES,4,Hours,NA,FALSE,demographics
FALSE,age_type,BEDROCK,6,Minutes,WHALES,5,Minutes,NA,FALSE,demographics
FALSE,age_type,BEDROCK,9,Unknown/Not Stated,WHALES,9,Unknown,NA,FALSE,demographics
TRUE,armed_forces,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,demographics
TRUE,armed_forces,BEDROCK,2,No,WHALES,N,No,NA,FALSE,demographics
TRUE,armed_forces,BEDROCK,9,Unknown/Not Stated,WHALES,U,Unknown,NA,FALSE,demographics
TRUE,autopsy,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,incident_information
TRUE,autopsy,BEDROCK,2,No,WHALES,N,No,NA,FALSE,incident_information
TRUE,autopsy,BEDROCK,9,Unknown/Not Reported,WHALES,U,Unknown,NA,FALSE,incident_information
TRUE,autopsy,BEDROCK,0,NA,WHALES,U,Unknown,No mention of this code in the Data Dictionary…,TRUE,incident_information
TRUE,autopsy_available,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,incident_information
TRUE,autopsy_available,BEDROCK,2,No,WHALES,N,No,NA,FALSE,incident_information
TRUE,autopsy_available,BEDROCK,8,Not Reported,WHALES,X,Not Reported,Determined from STATA Script,TRUE,incident_information
TRUE,autopsy_available,BEDROCK,9,Unknown,WHALES,U,Unknown,Determined from STATA Script,TRUE,incident_information
TRUE,autopsy_available,BEDROCK,0,NA,WHALES,U,Unknown,No mention of this code in the Data Dictionary…,TRUE,incident_information
FALSE,certifier_designation,BEDROCK,1,"Physician, MD",WHALES,1,Physician,"Some BEDROCK data years have the coded value of ""01"" as ""1""",FALSE,incident_information
TRUE,certifier_designation,BEDROCK,01,"Physician, MD",WHALES,1,Physician,NA,FALSE,incident_information
