variable,code,label,notes,flag
age_type,1,Years,,
age_type,2,Months,,
age_type,3,Days,,
age_type,4,Hours,,
age_type,5,Minutes,,
age_type,9,Unknown,,
armed_forces,Y,Yes,,
armed_forces,N,No,,
armed_forces,U,Unknown,,
autopsy,Y,Yes,,
autopsy,N,No,,
autopsy,U,Unknown,,
certifier_designation,1,Physician,,
certifier_designation,2,Coroner/ME,,
certifier_designation,3,DO,,
certifier_designation,4,Chiropractor,,
certifier_designation,5,Sanipractor,,
certifier_designation,6,Physician Assistant,,
certifier_designation,7,ARNP,,
certifier_designation,8,Not Applicable,,
certifier_designation,9,Unknown,,
date_of_death_modifier,A,Actual,,
date_of_death_modifier,X,Approximate,,
date_of_death_modifier,C,Court Determined,,
date_of_death_modifier,E,Estimated,,
date_of_death_modifier,F,Found,,
date_of_death_modifier,P,Presumed,,
date_of_death_modifier,U,Unknown,,
disposition,B,Burial,,
disposition,C,Cremation,,
disposition,R,Removal from State,,
disposition,D,Donation/Medical Research,,
disposition,N,Body Not Recovered,,
disposition,E,Entombment,,
disposition,O,Other,,
disposition,U,Unknown,,
education,1,8th Grade or Less,,
education,2,"No Diploma, 9th-12th Grade",,
education,3,High School Graduate or GED Completed,,
education,4,Some College Credit but No Degree,,
education,5,Associate Degree,,
education,6,Bachelors Degree,,
education,7,Masters Degree,,
education,8,Doctorate or Professional Degree,,
education,9,Unknown,,
education_8_or_less,0,No Education or less than 1st grade,,
education_8_or_less,1,Completed 1st Grade,,
education_8_or_less,2,Completed 2nd Grade,,
education_8_or_less,3,Completed 3rd Grade,,
education_8_or_less,4,Completed 4th Grade,,
education_8_or_less,5,Completed 5th Grade,,
education_8_or_less,6,Completed 6th Grade,,
education_8_or_less,7,Completed 7th Grade,,
education_8_or_less,8,Completed 8th Grade,,
education_8_or_less,9,Unknown,,
hispanic_cuban,Y,Yes,,
hispanic_cuban,N,No,,
hispanic_cuban,U,Unknown,,
hispanic_mexican,Y,Yes,,
hispanic_mexican,N,No,,
hispanic_mexican,U,Unknown,,
hispanic_nchs_bridge,0,Non-Hispanic,,
hispanic_nchs_bridge,1,Mexican,,
hispanic_nchs_bridge,2,Puerto Rican,,
hispanic_nchs_bridge,3,Cuban,,
hispanic_nchs_bridge,4,Central or South American,,
hispanic_nchs_bridge,5,Other and Unknown Hispanic,,
hispanic_nchs_bridge,9,Unknown/Not Stated,,
hispanic_no,Y,Yes,,
hispanic_no,N,No,,
hispanic_no,U,Unknown,,
hispanic_other,Y,Yes,,
hispanic_other,N,No,,
hispanic_other,U,Unknown,,
hispanic_puerto_rican,Y,Yes,,
hispanic_puerto_rican,N,No,,
hispanic_puerto_rican,U,Unknown,,
injury_acme_place,0,Home,,
injury_acme_place,1,Residential Institution,,
injury_acme_place,2,"School, Other Institution and Public Administrative Area",,
injury_acme_place,3,Sports and Athletics Area,,
injury_acme_place,4,Street and Highway,,
injury_acme_place,5,Trade and Service Area,,
injury_acme_place,6,Industrial and Construction Areas,,
injury_acme_place,7,Farm,,
injury_acme_place,8,Other Specified Places,,
injury_acme_place,9,Unspecified Place,,
injury_at_work,U,Unknown,,
injury_at_work,Y,Yes,,
injury_at_work,N,No,,
manner,N,Natural,,
manner,A,Accident,,
manner,S,Suicide,,
manner,H,Homicide,,
manner,C,Undetermined,,
manner,P,Pending,,
manner,U,Unknown,Not in data dictionary,TRUE
marital_status,S,Never Married,,
marital_status,M,Married,,
marital_status,P,Domestic Partner,,
marital_status,D,Divorced,,
marital_status,W,Widowed,,
marital_status,A,Married but Separated,,
marital_status,U,Unknown,,
me_coroner_referred,Y,Yes,,
me_coroner_referred,N,No,,
me_coroner_referred,U,Unknown,,
place_of_death_type,0,Home,,
place_of_death_type,1,Other Place,,
place_of_death_type,2,In Transport,,
place_of_death_type,3,Emergency Room,,
place_of_death_type,4,Hospital (Inpatient),,
place_of_death_type,5,Nursing Home/Long Term Care,,
place_of_death_type,6,Hospital,,
place_of_death_type,7,Hospice Facility,,
place_of_death_type,8,Other Person's Residence,,
place_of_death_type,9,Unknown,,
pregnancy,1,Not Pregnant Within the Past Year,,
pregnancy,2,Pregnant at the Time of Death,,
pregnancy,3,"Not Pregnant, but Pregnant Within 42 Days of Death",,
pregnancy,4,"Not Pregnant, but Pregnant Within 43 Days to 1 Year Before Death",,
pregnancy,8,No Response,,
pregnancy,9,Unknown,,
race_amer_indian_alaskan,Y,Yes,,
race_amer_indian_alaskan,N,No,,
race_amer_indian_alaskan,U,Unknown,,
race_asian_indian,Y,Yes,,
race_asian_indian,N,No,,
race_asian_indian,U,Unknown,,
race_black,Y,Yes,,
race_black,N,No,,
race_black,U,Unknown,,
race_chinese,Y,Yes,,
race_chinese,N,No,,
race_chinese,U,Unknown,,
race_filipino,Y,Yes,,
race_filipino,N,No,,
race_filipino,U,Unknown,,
race_guamanian_or_chamorro,Y,Yes,,
race_guamanian_or_chamorro,N,No,,
race_guamanian_or_chamorro,U,Unknown,,
race_hawaiian,Y,Yes,,
race_hawaiian,N,No,,
race_hawaiian,U,Unknown,,
race_japanese,Y,Yes,,
race_japanese,N,No,,
race_japanese,U,Unknown,,
race_korean,Y,Yes,,
race_korean,N,No,,
race_korean,U,Unknown,,
race_other,Y,Yes,,
race_other,N,No,,
race_other,U,Unknown,,
race_other_asian,Y,Yes,,
race_other_asian,N,No,,
race_other_asian,U,Unknown,,
race_other_pacific_islander,Y,Yes,,
race_other_pacific_islander,N,No,,
race_other_pacific_islander,U,Unknown,,
race_samoan,Y,Yes,,
race_samoan,N,No,,
race_samoan,U,Unknown,,
race_summary_code,10,White,,
race_summary_code,11,Black,,
race_summary_code,12,American Indian/Alaska Native,,
race_summary_code,13,Asian,,
race_summary_code,14,Native Hawaiian or Pacific Islander,,
race_summary_code,20,White and Black,,
race_summary_code,21,White and American Indian/Alaska Native,,
race_summary_code,22,White and Asian,,
race_summary_code,23,White and Native Hawaiian or Pacific Islander,,
race_summary_code,24,Black and American Indian/Alaska Native,,
race_summary_code,25,Black and Asian,,
race_summary_code,26,Black and Native Hawaiian or Pacific Islander,,
race_summary_code,27,American Indian/Alaska Native and Asian,,
race_summary_code,28,American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,29,Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,30,White and Black and American Indian/Alaska Native,,
race_summary_code,31,White and Black and Asian,,
race_summary_code,32,White and Black and Native Hawaiian or Pacific Islander,,
race_summary_code,33,White and American Indian/Alaska Native and Asian,,
race_summary_code,34,White and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,35,White and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,36,Black and American Indian/Alaska Native and Asian,,
race_summary_code,37,Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,38,Black and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,39,American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,40,White and Black and American Indian/Alaska Native and Asian,,
race_summary_code,41,White and Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,42,White and Black and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,43,White and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,44,Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,50,White and Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,99,Unknown,,
race_vietnamese,Y,Yes,,
race_vietnamese,N,No,,
race_vietnamese,U,Unknown,,
race_white,Y,Yes,,
race_white,N,No,,
race_white,U,Unknown,,
residence_city_limits,Y,Yes,,
residence_city_limits,N,No,,
residence_city_limits,U,Unknown,,
residence_length_type,Y,Years,,
residence_length_type,M,Months,,
residence_length_type,W,Weeks,,
residence_length_type,D,Days,,
residence_length_type,H,Hours,,
residence_length_type,N,Minutes,,
residence_length_type,U,Unknown,,
sex,M,Male,,
sex,F,Female,,
sex,U,Undetermined,,
sex,X,,"Not in data dictionary, first appears in 2021",TRUE
tobacco,Y,Yes,,
tobacco,N,No,,
tobacco,P,Probably,,
tobacco,U,Unknown,,
