variable,data_type,notes,flag
age,integer,,
age_type,factor,,
age_years,integer,,
all_cod_code,character,,
armed_forces,factor,,
autopsy,factor,,
birthplace_country,character,,
birthplace_state_fips_code,character,Keeping as character to facilitate join to code set in cleaning,
certifier_designation,factor,,
date_harmonized,date,,
date_of_birth,date,,
date_of_death,date,,
date_of_death_modifier,factor,,
date_of_injury,date,,
date_received,date,,
death_county_city_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
death_county_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
death_facility,character,Keeping as character to facilitate join to code set in cleaning,
death_state,character,Keeping as character to facilitate join to code set in cleaning,
death_zip_code,character,,
disposition,factor,,
disposition_date,date,,
disposition_facility_name,character,,
education,ordered,,
education_8_or_less,ordered,,
file_year,integer,,
funeral_home_name,character,,
hispanic_cuban,factor,,
hispanic_mexican,factor,,
hispanic_nchs_bridge,factor,,
hispanic_no,factor,,
hispanic_other,factor,,
hispanic_puerto_rican,factor,,
industry,character,,
informant_relationship,character,,
injury_acme_place,factor,,
injury_at_work,factor,,
injury_county_city_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
injury_county_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
injury_place,character,,
injury_state,character,Keeping as character to facilitate join to code set in cleaning,
injury_zip_code,character,,
local_file_number,character,,
manner,factor,,
marital_status,factor,,
me_coroner_referred,factor,,
occupation,character,,
place_of_death_type,factor,,
pregnancy,factor,,
race_amer_indian_alaskan,factor,,
race_asian_indian,factor,,
race_black,factor,,
race_chinese,factor,,
race_filipino,factor,,
race_guamanian_or_chamorro,factor,,
race_hawaiian,factor,,
race_japanese,factor,,
race_korean,factor,,
race_other,factor,,
race_other_asian,factor,,
race_other_pacific_islander,factor,,
race_samoan,factor,,
race_summary_code,factor,,
race_vietnamese,factor,,
race_white,factor,,
record_axis_code_1,character,,
record_axis_code_2,character,,
record_axis_code_3,character,,
record_axis_code_4,character,,
record_axis_code_5,character,,
record_axis_code_6,character,,
record_axis_code_7,character,,
record_axis_code_8,character,,
record_axis_code_9,character,,
record_axis_code_10,character,,
record_axis_code_11,character,,
record_axis_code_12,character,,
record_axis_code_13,character,,
record_axis_code_14,character,,
record_axis_code_15,character,,
record_axis_code_16,character,,
record_axis_code_17,character,,
record_axis_code_18,character,,
record_axis_code_19,character,,
record_axis_code_20,character,,
residence_city_limits,factor,,
residence_county_city_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
residence_county_wa_code,character,Keeping as character to facilitate join to code set in cleaning,
residence_length,integer,,
residence_length_type,factor,,
residence_state_fips_code,character,Keeping as character to facilitate join to code set in cleaning,
residence_zip_code,character,,
sex,factor,,
source_file,character,,
source_system,character,,
state_file_number,character,,
time_of_death,time,,
time_of_injury,time,,
tobacco,factor,,
underlying_cod_code,character,,
vintage_label,character,,
