variable,level,label,order,ordered,data_type,notes,flag
age_type,1,Years,,FALSE,factor,,
age_type,2,Months,,FALSE,factor,,
age_type,3,Days,,FALSE,factor,,
age_type,4,Hours,,FALSE,factor,,
age_type,5,Minutes,,FALSE,factor,,
age_type,9,Unknown,,FALSE,factor,,
armed_forces,Y,Yes,,FALSE,factor,,
armed_forces,N,No,,FALSE,factor,,
armed_forces,U,Unknown,,FALSE,factor,,
autopsy,Y,Yes,,FALSE,factor,,
autopsy,N,No,,FALSE,factor,,
autopsy,U,Unknown,,FALSE,factor,,
certifier_designation,1,Physician,,FALSE,factor,,
certifier_designation,2,Coroner/ME,,FALSE,factor,,
certifier_designation,3,DO,,FALSE,factor,,
certifier_designation,4,Chiropractor,,FALSE,factor,,
certifier_designation,5,Sanipractor,,FALSE,factor,,
certifier_designation,6,Physician Assistant,,FALSE,factor,,
certifier_designation,7,ARNP,,FALSE,factor,,
certifier_designation,8,Not Applicable,,FALSE,factor,,
certifier_designation,9,Unknown,,FALSE,factor,,
date_of_death_modifier,A,Actual,,FALSE,factor,,
date_of_death_modifier,X,Approximate,,FALSE,factor,,
date_of_death_modifier,C,Court Determined,,FALSE,factor,,
date_of_death_modifier,E,Estimated,,FALSE,factor,,
date_of_death_modifier,F,Found,,FALSE,factor,,
date_of_death_modifier,P,Presumed,,FALSE,factor,,
date_of_death_modifier,U,Unknown,,FALSE,factor,,
disposition,B,Burial,,FALSE,factor,,
disposition,C,Cremation,,FALSE,factor,,
disposition,R,Removal from State,,FALSE,factor,,
disposition,D,Donation/Medical Research,,FALSE,factor,,
disposition,N,Body Not Recovered,,FALSE,factor,,
disposition,E,Entombment,,FALSE,factor,,
disposition,O,Other,,FALSE,factor,,
disposition,U,Unknown,,FALSE,factor,,
education,1,8th Grade or Less,1,TRUE,ordered,,
education,2,"No Diploma, 9th-12th Grade",2,TRUE,ordered,,
education,3,High School Graduate or GED Completed,3,TRUE,ordered,,
education,4,Some College Credit but No Degree,4,TRUE,ordered,,
education,5,Associate Degree,5,TRUE,ordered,,
education,6,Bachelors Degree,6,TRUE,ordered,,
education,7,Masters Degree,7,TRUE,ordered,,
education,8,Doctorate or Professional Degree,8,TRUE,ordered,,
education,9,Unknown,9,TRUE,ordered,,
education_8_or_less,0,No Education or less than 1st grade,1,TRUE,ordered,,
education_8_or_less,1,Completed 1st Grade,2,TRUE,ordered,,
education_8_or_less,2,Completed 2nd Grade,3,TRUE,ordered,,
education_8_or_less,3,Completed 3rd Grade,4,TRUE,ordered,,
education_8_or_less,4,Completed 4th Grade,5,TRUE,ordered,,
education_8_or_less,5,Completed 5th Grade,6,TRUE,ordered,,
education_8_or_less,6,Completed 6th Grade,7,TRUE,ordered,,
education_8_or_less,7,Completed 7th Grade,8,TRUE,ordered,,
education_8_or_less,8,Completed 8th Grade,9,TRUE,ordered,,
education_8_or_less,9,Unknown,10,TRUE,ordered,,
hispanic_cuban,Y,Yes,,FALSE,factor,,
hispanic_cuban,N,No,,FALSE,factor,,
hispanic_cuban,U,Unknown,,FALSE,factor,,
hispanic_mexican,Y,Yes,,FALSE,factor,,
hispanic_mexican,N,No,,FALSE,factor,,
hispanic_mexican,U,Unknown,,FALSE,factor,,
hispanic_nchs_bridge,0,Non-Hispanic,,FALSE,factor,,
hispanic_nchs_bridge,1,Mexican,,FALSE,factor,,
hispanic_nchs_bridge,2,Puerto Rican,,FALSE,factor,,
hispanic_nchs_bridge,3,Cuban,,FALSE,factor,,
hispanic_nchs_bridge,4,Central or South American,,FALSE,factor,,
hispanic_nchs_bridge,5,Other and Unknown Hispanic,,FALSE,factor,,
hispanic_nchs_bridge,9,Unknown/Not Stated,,FALSE,factor,,
hispanic_no,Y,Yes,,FALSE,factor,,
hispanic_no,N,No,,FALSE,factor,,
hispanic_no,U,Unknown,,FALSE,factor,,
hispanic_other,Y,Yes,,FALSE,factor,,
hispanic_other,N,No,,FALSE,factor,,
hispanic_other,U,Unknown,,FALSE,factor,,
hispanic_puerto_rican,Y,Yes,,FALSE,factor,,
hispanic_puerto_rican,N,No,,FALSE,factor,,
hispanic_puerto_rican,U,Unknown,,FALSE,factor,,
injury_acme_place,0,Home,,FALSE,factor,,
injury_acme_place,1,Residential Institution,,FALSE,factor,,
injury_acme_place,2,"School, Other Institution and Public Administrative Area",,FALSE,factor,,
injury_acme_place,3,Sports and Athletics Area,,FALSE,factor,,
injury_acme_place,4,Street and Highway,,FALSE,factor,,
injury_acme_place,5,Trade and Service Area,,FALSE,factor,,
injury_acme_place,6,Industrial and Construction Areas,,FALSE,factor,,
injury_acme_place,7,Farm,,FALSE,factor,,
injury_acme_place,8,Other Specified Places,,FALSE,factor,,
injury_acme_place,9,Unspecified Place,,FALSE,factor,,
injury_at_work,Y,Yes,,FALSE,factor,,
injury_at_work,N,No,,FALSE,factor,,
injury_at_work,U,Unknown,,FALSE,factor,,
manner,N,Natural,,FALSE,factor,,
manner,A,Accident,,FALSE,factor,,
manner,S,Suicide,,FALSE,factor,,
manner,H,Homicide,,FALSE,factor,,
manner,C,Undetermined,,FALSE,factor,,
manner,P,Pending,,FALSE,factor,,
manner,U,Unknown,,FALSE,factor,Not in data dictionary…,TRUE
marital_status,S,Never Married,,FALSE,factor,,
marital_status,M,Married,,FALSE,factor,,
marital_status,P,Domestic Partner,,FALSE,factor,,
marital_status,D,Divorced,,FALSE,factor,,
marital_status,W,Widowed,,FALSE,factor,,
marital_status,A,Married but Separated,,FALSE,factor,,
marital_status,U,Unknown,,FALSE,factor,,
me_coroner_referred,Y,Yes,,FALSE,factor,,
me_coroner_referred,N,No,,FALSE,factor,,
me_coroner_referred,U,Unknown,,FALSE,factor,,
place_of_death_type,0,Home,,FALSE,factor,,
place_of_death_type,1,Other Place,,FALSE,factor,,
place_of_death_type,2,In Transport,,FALSE,factor,,
place_of_death_type,3,Emergency Room,,FALSE,factor,,
place_of_death_type,4,Hospital (Inpatient),,FALSE,factor,,
place_of_death_type,5,Nursing Home/Long Term Care,,FALSE,factor,,
place_of_death_type,6,Hospital,,FALSE,factor,,
place_of_death_type,7,Hospice Facility,,FALSE,factor,,
place_of_death_type,8,Other Person's Residence,,FALSE,factor,,
place_of_death_type,9,Unknown,,FALSE,factor,,
pregnancy,1,Not Pregnant Within the Past Year,,FALSE,factor,,
pregnancy,2,Pregnant at the Time of Death,,FALSE,factor,,
pregnancy,3,"Not Pregnant, but Pregnant Within 42 Days of Death",,FALSE,factor,,
pregnancy,4,"Not Pregnant, but Pregnant Within 43 Days to 1 Year Before Death",,FALSE,factor,,
pregnancy,8,No Response,,FALSE,factor,,
pregnancy,9,Unknown,,FALSE,factor,,
race_amer_indian_alaskan,Y,Yes,,FALSE,factor,,
race_amer_indian_alaskan,N,No,,FALSE,factor,,
race_amer_indian_alaskan,U,Unknown,,FALSE,factor,,
race_asian_indian,Y,Yes,,FALSE,factor,,
race_asian_indian,N,No,,FALSE,factor,,
race_asian_indian,U,Unknown,,FALSE,factor,,
race_black,Y,Yes,,FALSE,factor,,
race_black,N,No,,FALSE,factor,,
race_black,U,Unknown,,FALSE,factor,,
race_chinese,Y,Yes,,FALSE,factor,,
race_chinese,N,No,,FALSE,factor,,
race_chinese,U,Unknown,,FALSE,factor,,
race_filipino,Y,Yes,,FALSE,factor,,
race_filipino,N,No,,FALSE,factor,,
race_filipino,U,Unknown,,FALSE,factor,,
race_guamanian_or_chamorro,Y,Yes,,FALSE,factor,,
race_guamanian_or_chamorro,N,No,,FALSE,factor,,
race_guamanian_or_chamorro,U,Unknown,,FALSE,factor,,
race_hawaiian,Y,Yes,,FALSE,factor,,
race_hawaiian,N,No,,FALSE,factor,,
race_hawaiian,U,Unknown,,FALSE,factor,,
race_japanese,Y,Yes,,FALSE,factor,,
race_japanese,N,No,,FALSE,factor,,
race_japanese,U,Unknown,,FALSE,factor,,
race_korean,Y,Yes,,FALSE,factor,,
race_korean,N,No,,FALSE,factor,,
race_korean,U,Unknown,,FALSE,factor,,
race_other,Y,Yes,,FALSE,factor,,
race_other,N,No,,FALSE,factor,,
race_other,U,Unknown,,FALSE,factor,,
race_other_asian,Y,Yes,,FALSE,factor,,
race_other_asian,N,No,,FALSE,factor,,
race_other_asian,U,Unknown,,FALSE,factor,,
race_other_pacific_islander,Y,Yes,,FALSE,factor,,
race_other_pacific_islander,N,No,,FALSE,factor,,
race_other_pacific_islander,U,Unknown,,FALSE,factor,,
race_samoan,Y,Yes,,FALSE,factor,,
race_samoan,N,No,,FALSE,factor,,
race_samoan,U,Unknown,,FALSE,factor,,
race_summary_code,10,White,,FALSE,factor,,
race_summary_code,11,Black,,FALSE,factor,,
race_summary_code,12,American Indian/Alaska Native,,FALSE,factor,,
race_summary_code,13,Asian,,FALSE,factor,,
race_summary_code,14,Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,20,White and Black,,FALSE,factor,,
race_summary_code,21,White and American Indian/Alaska Native,,FALSE,factor,,
race_summary_code,22,White and Asian,,FALSE,factor,,
race_summary_code,23,White and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,24,Black and American Indian/Alaska Native,,FALSE,factor,,
race_summary_code,25,Black and Asian,,FALSE,factor,,
race_summary_code,26,Black and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,27,American Indian/Alaska Native and Asian,,FALSE,factor,,
race_summary_code,28,American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,29,Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,30,White and Black and American Indian/Alaska Native,,FALSE,factor,,
race_summary_code,31,White and Black and Asian,,FALSE,factor,,
race_summary_code,32,White and Black and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,33,White and American Indian/Alaska Native and Asian,,FALSE,factor,,
race_summary_code,34,White and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,35,White and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,36,Black and American Indian/Alaska Native and Asian,,FALSE,factor,,
race_summary_code,37,Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,38,Black and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,39,American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,40,White and Black and American Indian/Alaska Native and Asian,,FALSE,factor,,
race_summary_code,41,White and Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,42,White and Black and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,43,White and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,44,Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,50,White and Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,FALSE,factor,,
race_summary_code,99,Unknown,,FALSE,factor,,
race_vietnamese,Y,Yes,,FALSE,factor,,
race_vietnamese,N,No,,FALSE,factor,,
race_vietnamese,U,Unknown,,FALSE,factor,,
race_white,Y,Yes,,FALSE,factor,,
race_white,N,No,,FALSE,factor,,
race_white,U,Unknown,,FALSE,factor,,
residence_city_limits,Y,Yes,,FALSE,factor,,
residence_city_limits,N,No,,FALSE,factor,,
residence_city_limits,U,Unknown,,FALSE,factor,,
residence_length_type,Y,Years,,FALSE,factor,,
residence_length_type,M,Months,,FALSE,factor,,
residence_length_type,W,Weeks,,FALSE,factor,,
residence_length_type,D,Days,,FALSE,factor,,
residence_length_type,H,Hours,,FALSE,factor,,
residence_length_type,N,Minutes,,FALSE,factor,,
residence_length_type,U,Unknown,,FALSE,factor,,
sex,M,Male,,FALSE,factor,,
sex,F,Female,,FALSE,factor,,
sex,U,Undetermined,,FALSE,factor,,
sex,X,Other,,FALSE,factor,Not in data dictionary…,TRUE
tobacco,Y,Yes,,FALSE,factor,,
tobacco,N,No,,FALSE,factor,,
tobacco,P,Probably,,FALSE,factor,,
tobacco,U,Unknown,,FALSE,factor,,
