variable,data_type,code,label,notes,flag
age_type,integer,1,Years,,
age_type,integer,2,Months,,
age_type,integer,3,Days,,
age_type,integer,4,Hours,,
age_type,integer,5,Minutes,,
age_type,integer,9,Unknown,,
armed_forces,character,Y,Yes,,
armed_forces,character,N,No,,
armed_forces,character,U,Unknown,,
autopsy,character,Y,Yes,,
autopsy,character,N,No,,
autopsy,character,U,Unknown,,
certifier_designation,integer,1,Physician,,
certifier_designation,integer,2,Coroner/ME,,
certifier_designation,integer,3,DO,,
certifier_designation,integer,4,Chiropractor,,
certifier_designation,integer,5,Sanipractor,,
certifier_designation,integer,6,Physician Assistant,,
certifier_designation,integer,7,ARNP,,
certifier_designation,integer,8,Not Applicable,,
certifier_designation,integer,9,Unknown,,
date_of_death_modifier,character,A,Actual,,
date_of_death_modifier,character,X,Approximate,,
date_of_death_modifier,character,C,Court Determined,,
date_of_death_modifier,character,E,Estimated,,
date_of_death_modifier,character,F,Found,,
date_of_death_modifier,character,P,Presumed,,
date_of_death_modifier,character,U,Unknown,,
disposition,character,B,Burial,,
disposition,character,C,Cremation,,
disposition,character,R,Removal from State,,
disposition,character,D,Donation/Medical Research,,
disposition,character,N,Body Not Recovered,,
disposition,character,E,Entombment,,
disposition,character,O,Other,,
disposition,character,U,Unknown,,
education,integer,1,8th Grade or Less,,
education,integer,2,"No Diploma, 9th-12th Grade",,
education,integer,3,High School Graduate or GED Completed,,
education,integer,4,Some College Credit but No Degree,,
education,integer,5,Associate Degree,,
education,integer,6,Bachelors Degree,,
education,integer,7,Masters Degree,,
education,integer,8,Doctorate or Professional Degree,,
education,integer,9,Unknown,,
education_8_or_less,integer,0,No Education or less than 1st grade,,
education_8_or_less,integer,1,Completed 1st Grade,,
education_8_or_less,integer,2,Completed 2nd Grade,,
education_8_or_less,integer,3,Completed 3rd Grade,,
education_8_or_less,integer,4,Completed 4th Grade,,
education_8_or_less,integer,5,Completed 5th Grade,,
education_8_or_less,integer,6,Completed 6th Grade,,
education_8_or_less,integer,7,Completed 7th Grade,,
education_8_or_less,integer,8,Completed 8th Grade,,
education_8_or_less,integer,9,Unknown,,
hispanic_cuban,character,Y,Yes,,
hispanic_cuban,character,N,No,,
hispanic_cuban,character,U,Unknown,,
hispanic_mexican,character,Y,Yes,,
hispanic_mexican,character,N,No,,
hispanic_mexican,character,U,Unknown,,
hispanic_nchs_bridge,integer,0,Non-Hispanic,,
hispanic_nchs_bridge,integer,1,Mexican,,
hispanic_nchs_bridge,integer,2,Puerto Rican,,
hispanic_nchs_bridge,integer,3,Cuban,,
hispanic_nchs_bridge,integer,4,Central or South American,,
hispanic_nchs_bridge,integer,5,Other and Unknown Hispanic,,
hispanic_nchs_bridge,integer,9,Unknown/Not Stated,,
hispanic_no,character,Y,Yes,,
hispanic_no,character,N,No,,
hispanic_no,character,U,Unknown,,
hispanic_other,character,Y,Yes,,
hispanic_other,character,N,No,,
hispanic_other,character,U,Unknown,,
hispanic_puerto_rican,character,Y,Yes,,
hispanic_puerto_rican,character,N,No,,
hispanic_puerto_rican,character,U,Unknown,,
injury_acme_place,integer,0,Home,,
injury_acme_place,integer,1,Residential Institution,,
injury_acme_place,integer,2,"School, Other Institution and Public Administrative Area",,
injury_acme_place,integer,3,Sports and Athletics Area,,
injury_acme_place,integer,4,Street and Highway,,
injury_acme_place,integer,5,Trade and Service Area,,
injury_acme_place,integer,6,Industrial and Construction Areas,,
injury_acme_place,integer,7,Farm,,
injury_acme_place,integer,8,Other Specified Places,,
injury_acme_place,integer,9,Unspecified Place,,
injury_at_work,character,U,Unknown,,
injury_at_work,character,Y,Yes,,
injury_at_work,character,N,No,,
manner,character,N,Natural,,
manner,character,A,Accident,,
manner,character,S,Suicide,,
manner,character,H,Homicide,,
manner,character,C,Undetermined,,
manner,character,P,Pending,,
